Date,Year,Quarter,Month,Day
08/11/19,2019,Qtr 3,Aug,Sun
08/12/19,2019,Qtr 3,Aug,Mon
08/13/19,2019,Qtr 3,Aug,Tue
08/14/19,2019,Qtr 3,Aug,Wed
08/15/19,2019,Qtr 3,Aug,Thu
08/16/19,2019,Qtr 3,Aug,Fri
08/17/19,2019,Qtr 3,Aug,Sat
08/18/19,2019,Qtr 3,Aug,Sun
08/19/19,2019,Qtr 3,Aug,Mon
08/20/19,2019,Qtr 3,Aug,Tue
08/21/19,2019,Qtr 3,Aug,Wed
08/22/19,2019,Qtr 3,Aug,Thu
08/23/19,2019,Qtr 3,Aug,Fri
08/24/19,2019,Qtr 3,Aug,Sat
08/25/19,2019,Qtr 3,Aug,Sun
08/26/19,2019,Qtr 3,Aug,Mon
08/27/19,2019,Qtr 3,Aug,Tue
08/28/19,2019,Qtr 3,Aug,Wed
08/29/19,2019,Qtr 3,Aug,Thu
08/30/19,2019,Qtr 3,Aug,Fri
08/31/19,2019,Qtr 3,Aug,Sat
09/01/19,2019,Qtr 3,Sep,Sun
09/02/19,2019,Qtr 3,Sep,Mon
09/03/19,2019,Qtr 3,Sep,Tue
09/04/19,2019,Qtr 3,Sep,Wed
09/05/19,2019,Qtr 3,Sep,Thu
09/06/19,2019,Qtr 3,Sep,Fri
09/07/19,2019,Qtr 3,Sep,Sat
09/08/19,2019,Qtr 3,Sep,Sun
09/09/19,2019,Qtr 3,Sep,Mon
09/10/19,2019,Qtr 3,Sep,Tue
09/11/19,2019,Qtr 3,Sep,Wed
09/12/19,2019,Qtr 3,Sep,Thu
09/13/19,2019,Qtr 3,Sep,Fri
09/14/19,2019,Qtr 3,Sep,Sat
09/15/19,2019,Qtr 3,Sep,Sun
09/16/19,2019,Qtr 3,Sep,Mon
09/17/19,2019,Qtr 3,Sep,Tue
09/18/19,2019,Qtr 3,Sep,Wed
09/19/19,2019,Qtr 3,Sep,Thu
09/20/19,2019,Qtr 3,Sep,Fri
09/21/19,2019,Qtr 3,Sep,Sat
09/22/19,2019,Qtr 3,Sep,Sun
09/23/19,2019,Qtr 3,Sep,Mon
09/24/19,2019,Qtr 3,Sep,Tue
09/25/19,2019,Qtr 3,Sep,Wed
09/26/19,2019,Qtr 3,Sep,Thu
09/27/19,2019,Qtr 3,Sep,Fri
09/28/19,2019,Qtr 3,Sep,Sat
09/29/19,2019,Qtr 3,Sep,Sun
09/30/19,2019,Qtr 3,Sep,Mon
10/01/19,2019,Qtr 4,Oct,Tue
10/02/19,2019,Qtr 4,Oct,Wed
10/03/19,2019,Qtr 4,Oct,Thu
10/04/19,2019,Qtr 4,Oct,Fri
10/05/19,2019,Qtr 4,Oct,Sat
10/06/19,2019,Qtr 4,Oct,Sun
10/07/19,2019,Qtr 4,Oct,Mon
10/08/19,2019,Qtr 4,Oct,Tue
10/09/19,2019,Qtr 4,Oct,Wed
10/10/19,2019,Qtr 4,Oct,Thu
10/11/19,2019,Qtr 4,Oct,Fri
10/12/19,2019,Qtr 4,Oct,Sat
10/13/19,2019,Qtr 4,Oct,Sun
10/14/19,2019,Qtr 4,Oct,Mon
10/15/19,2019,Qtr 4,Oct,Tue
10/16/19,2019,Qtr 4,Oct,Wed
10/17/19,2019,Qtr 4,Oct,Thu
10/18/19,2019,Qtr 4,Oct,Fri
10/19/19,2019,Qtr 4,Oct,Sat
10/20/19,2019,Qtr 4,Oct,Sun
10/21/19,2019,Qtr 4,Oct,Mon
10/22/19,2019,Qtr 4,Oct,Tue
10/23/19,2019,Qtr 4,Oct,Wed
10/24/19,2019,Qtr 4,Oct,Thu
10/25/19,2019,Qtr 4,Oct,Fri
10/26/19,2019,Qtr 4,Oct,Sat
10/27/19,2019,Qtr 4,Oct,Sun
10/28/19,2019,Qtr 4,Oct,Mon
10/29/19,2019,Qtr 4,Oct,Tue
10/30/19,2019,Qtr 4,Oct,Wed
10/31/19,2019,Qtr 4,Oct,Thu
11/01/19,2019,Qtr 4,Nov,Fri
11/02/19,2019,Qtr 4,Nov,Sat
11/03/19,2019,Qtr 4,Nov,Sun
11/04/19,2019,Qtr 4,Nov,Mon
11/05/19,2019,Qtr 4,Nov,Tue
11/06/19,2019,Qtr 4,Nov,Wed
11/07/19,2019,Qtr 4,Nov,Thu
11/08/19,2019,Qtr 4,Nov,Fri
11/09/19,2019,Qtr 4,Nov,Sat
11/10/19,2019,Qtr 4,Nov,Sun
11/11/19,2019,Qtr 4,Nov,Mon
11/12/19,2019,Qtr 4,Nov,Tue
11/13/19,2019,Qtr 4,Nov,Wed
11/14/19,2019,Qtr 4,Nov,Thu
11/15/19,2019,Qtr 4,Nov,Fri
11/16/19,2019,Qtr 4,Nov,Sat
11/17/19,2019,Qtr 4,Nov,Sun
11/18/19,2019,Qtr 4,Nov,Mon
11/19/19,2019,Qtr 4,Nov,Tue
11/20/19,2019,Qtr 4,Nov,Wed
11/21/19,2019,Qtr 4,Nov,Thu
11/22/19,2019,Qtr 4,Nov,Fri
11/23/19,2019,Qtr 4,Nov,Sat
11/24/19,2019,Qtr 4,Nov,Sun
11/25/19,2019,Qtr 4,Nov,Mon
11/26/19,2019,Qtr 4,Nov,Tue
11/27/19,2019,Qtr 4,Nov,Wed
11/28/19,2019,Qtr 4,Nov,Thu
11/29/19,2019,Qtr 4,Nov,Fri
11/30/19,2019,Qtr 4,Nov,Sat
12/01/19,2019,Qtr 4,Dec,Sun
12/02/19,2019,Qtr 4,Dec,Mon
12/03/19,2019,Qtr 4,Dec,Tue
12/04/19,2019,Qtr 4,Dec,Wed
12/05/19,2019,Qtr 4,Dec,Thu
12/06/19,2019,Qtr 4,Dec,Fri
12/07/19,2019,Qtr 4,Dec,Sat
12/08/19,2019,Qtr 4,Dec,Sun
12/09/19,2019,Qtr 4,Dec,Mon
12/10/19,2019,Qtr 4,Dec,Tue
12/11/19,2019,Qtr 4,Dec,Wed
12/12/19,2019,Qtr 4,Dec,Thu
12/13/19,2019,Qtr 4,Dec,Fri
12/14/19,2019,Qtr 4,Dec,Sat
12/15/19,2019,Qtr 4,Dec,Sun
12/16/19,2019,Qtr 4,Dec,Mon
12/17/19,2019,Qtr 4,Dec,Tue
12/18/19,2019,Qtr 4,Dec,Wed
12/19/19,2019,Qtr 4,Dec,Thu
12/20/19,2019,Qtr 4,Dec,Fri
12/21/19,2019,Qtr 4,Dec,Sat
12/22/19,2019,Qtr 4,Dec,Sun
12/23/19,2019,Qtr 4,Dec,Mon
12/24/19,2019,Qtr 4,Dec,Tue
12/25/19,2019,Qtr 4,Dec,Wed
12/26/19,2019,Qtr 4,Dec,Thu
12/27/19,2019,Qtr 4,Dec,Fri
12/28/19,2019,Qtr 4,Dec,Sat
12/29/19,2019,Qtr 4,Dec,Sun
12/30/19,2019,Qtr 4,Dec,Mon
12/31/19,2019,Qtr 4,Dec,Tue
01/01/20,2020,Qtr 1,Jan,Wed
01/02/20,2020,Qtr 1,Jan,Thu
01/03/20,2020,Qtr 1,Jan,Fri
01/04/20,2020,Qtr 1,Jan,Sat
01/05/20,2020,Qtr 1,Jan,Sun
01/06/20,2020,Qtr 1,Jan,Mon
01/07/20,2020,Qtr 1,Jan,Tue
01/08/20,2020,Qtr 1,Jan,Wed
01/09/20,2020,Qtr 1,Jan,Thu
01/10/20,2020,Qtr 1,Jan,Fri
01/11/20,2020,Qtr 1,Jan,Sat
01/12/20,2020,Qtr 1,Jan,Sun
01/13/20,2020,Qtr 1,Jan,Mon
01/14/20,2020,Qtr 1,Jan,Tue
01/15/20,2020,Qtr 1,Jan,Wed
01/16/20,2020,Qtr 1,Jan,Thu
01/17/20,2020,Qtr 1,Jan,Fri
01/18/20,2020,Qtr 1,Jan,Sat
01/19/20,2020,Qtr 1,Jan,Sun
01/20/20,2020,Qtr 1,Jan,Mon
01/21/20,2020,Qtr 1,Jan,Tue
01/22/20,2020,Qtr 1,Jan,Wed
01/23/20,2020,Qtr 1,Jan,Thu
01/24/20,2020,Qtr 1,Jan,Fri
01/25/20,2020,Qtr 1,Jan,Sat
01/26/20,2020,Qtr 1,Jan,Sun
01/27/20,2020,Qtr 1,Jan,Mon
01/28/20,2020,Qtr 1,Jan,Tue
01/29/20,2020,Qtr 1,Jan,Wed
01/30/20,2020,Qtr 1,Jan,Thu
01/31/20,2020,Qtr 1,Jan,Fri
02/01/20,2020,Qtr 1,Feb,Sat
02/02/20,2020,Qtr 1,Feb,Sun
02/03/20,2020,Qtr 1,Feb,Mon
02/04/20,2020,Qtr 1,Feb,Tue
02/05/20,2020,Qtr 1,Feb,Wed
02/06/20,2020,Qtr 1,Feb,Thu
02/07/20,2020,Qtr 1,Feb,Fri
02/08/20,2020,Qtr 1,Feb,Sat
02/09/20,2020,Qtr 1,Feb,Sun
02/10/20,2020,Qtr 1,Feb,Mon
02/11/20,2020,Qtr 1,Feb,Tue
02/12/20,2020,Qtr 1,Feb,Wed
02/13/20,2020,Qtr 1,Feb,Thu
02/14/20,2020,Qtr 1,Feb,Fri
02/15/20,2020,Qtr 1,Feb,Sat
02/16/20,2020,Qtr 1,Feb,Sun
02/17/20,2020,Qtr 1,Feb,Mon
02/18/20,2020,Qtr 1,Feb,Tue
02/19/20,2020,Qtr 1,Feb,Wed
02/20/20,2020,Qtr 1,Feb,Thu
02/21/20,2020,Qtr 1,Feb,Fri
02/22/20,2020,Qtr 1,Feb,Sat
02/23/20,2020,Qtr 1,Feb,Sun
02/24/20,2020,Qtr 1,Feb,Mon
02/25/20,2020,Qtr 1,Feb,Tue
02/26/20,2020,Qtr 1,Feb,Wed
02/27/20,2020,Qtr 1,Feb,Thu
02/28/20,2020,Qtr 1,Feb,Fri
02/29/20,2020,Qtr 1,Feb,Sat
03/01/20,2020,Qtr 1,Mar,Sun
03/02/20,2020,Qtr 1,Mar,Mon
03/03/20,2020,Qtr 1,Mar,Tue
03/04/20,2020,Qtr 1,Mar,Wed
03/05/20,2020,Qtr 1,Mar,Thu
03/06/20,2020,Qtr 1,Mar,Fri
03/07/20,2020,Qtr 1,Mar,Sat
03/08/20,2020,Qtr 1,Mar,Sun
03/09/20,2020,Qtr 1,Mar,Mon
03/10/20,2020,Qtr 1,Mar,Tue
03/11/20,2020,Qtr 1,Mar,Wed
03/12/20,2020,Qtr 1,Mar,Thu
03/13/20,2020,Qtr 1,Mar,Fri
03/14/20,2020,Qtr 1,Mar,Sat
03/15/20,2020,Qtr 1,Mar,Sun
03/16/20,2020,Qtr 1,Mar,Mon
03/17/20,2020,Qtr 1,Mar,Tue
03/18/20,2020,Qtr 1,Mar,Wed
03/19/20,2020,Qtr 1,Mar,Thu
03/20/20,2020,Qtr 1,Mar,Fri
03/21/20,2020,Qtr 1,Mar,Sat
03/22/20,2020,Qtr 1,Mar,Sun
03/23/20,2020,Qtr 1,Mar,Mon
03/24/20,2020,Qtr 1,Mar,Tue
03/25/20,2020,Qtr 1,Mar,Wed
03/26/20,2020,Qtr 1,Mar,Thu
03/27/20,2020,Qtr 1,Mar,Fri
03/28/20,2020,Qtr 1,Mar,Sat
03/29/20,2020,Qtr 1,Mar,Sun
03/30/20,2020,Qtr 1,Mar,Mon
03/31/20,2020,Qtr 1,Mar,Tue
04/01/20,2020,Qtr 2,Apr,Wed
04/02/20,2020,Qtr 2,Apr,Thu
04/03/20,2020,Qtr 2,Apr,Fri
04/04/20,2020,Qtr 2,Apr,Sat
04/05/20,2020,Qtr 2,Apr,Sun
04/06/20,2020,Qtr 2,Apr,Mon
04/07/20,2020,Qtr 2,Apr,Tue
04/08/20,2020,Qtr 2,Apr,Wed
04/09/20,2020,Qtr 2,Apr,Thu
04/10/20,2020,Qtr 2,Apr,Fri
04/11/20,2020,Qtr 2,Apr,Sat
04/12/20,2020,Qtr 2,Apr,Sun
04/13/20,2020,Qtr 2,Apr,Mon
04/14/20,2020,Qtr 2,Apr,Tue
04/15/20,2020,Qtr 2,Apr,Wed
04/16/20,2020,Qtr 2,Apr,Thu
04/17/20,2020,Qtr 2,Apr,Fri
04/18/20,2020,Qtr 2,Apr,Sat
04/19/20,2020,Qtr 2,Apr,Sun
04/20/20,2020,Qtr 2,Apr,Mon
04/21/20,2020,Qtr 2,Apr,Tue
04/22/20,2020,Qtr 2,Apr,Wed
04/23/20,2020,Qtr 2,Apr,Thu
04/24/20,2020,Qtr 2,Apr,Fri
04/25/20,2020,Qtr 2,Apr,Sat
04/26/20,2020,Qtr 2,Apr,Sun
04/27/20,2020,Qtr 2,Apr,Mon
04/28/20,2020,Qtr 2,Apr,Tue
04/29/20,2020,Qtr 2,Apr,Wed
04/30/20,2020,Qtr 2,Apr,Thu
05/01/20,2020,Qtr 2,May,Fri
05/02/20,2020,Qtr 2,May,Sat
05/03/20,2020,Qtr 2,May,Sun
05/04/20,2020,Qtr 2,May,Mon
05/05/20,2020,Qtr 2,May,Tue
05/06/20,2020,Qtr 2,May,Wed
05/07/20,2020,Qtr 2,May,Thu
05/08/20,2020,Qtr 2,May,Fri
05/09/20,2020,Qtr 2,May,Sat
05/10/20,2020,Qtr 2,May,Sun
05/11/20,2020,Qtr 2,May,Mon
05/12/20,2020,Qtr 2,May,Tue
05/13/20,2020,Qtr 2,May,Wed
05/14/20,2020,Qtr 2,May,Thu
05/15/20,2020,Qtr 2,May,Fri
05/16/20,2020,Qtr 2,May,Sat
05/17/20,2020,Qtr 2,May,Sun
05/18/20,2020,Qtr 2,May,Mon
05/19/20,2020,Qtr 2,May,Tue
05/20/20,2020,Qtr 2,May,Wed
05/21/20,2020,Qtr 2,May,Thu
05/22/20,2020,Qtr 2,May,Fri
05/23/20,2020,Qtr 2,May,Sat
05/24/20,2020,Qtr 2,May,Sun
05/25/20,2020,Qtr 2,May,Mon
05/26/20,2020,Qtr 2,May,Tue
05/27/20,2020,Qtr 2,May,Wed
05/28/20,2020,Qtr 2,May,Thu
05/29/20,2020,Qtr 2,May,Fri
05/30/20,2020,Qtr 2,May,Sat
05/31/20,2020,Qtr 2,May,Sun
06/01/20,2020,Qtr 2,Jun,Mon
06/02/20,2020,Qtr 2,Jun,Tue
06/03/20,2020,Qtr 2,Jun,Wed
06/04/20,2020,Qtr 2,Jun,Thu
06/05/20,2020,Qtr 2,Jun,Fri
06/06/20,2020,Qtr 2,Jun,Sat
06/07/20,2020,Qtr 2,Jun,Sun
06/08/20,2020,Qtr 2,Jun,Mon
06/09/20,2020,Qtr 2,Jun,Tue
06/10/20,2020,Qtr 2,Jun,Wed
06/11/20,2020,Qtr 2,Jun,Thu
06/12/20,2020,Qtr 2,Jun,Fri
06/13/20,2020,Qtr 2,Jun,Sat
06/14/20,2020,Qtr 2,Jun,Sun
06/15/20,2020,Qtr 2,Jun,Mon
06/16/20,2020,Qtr 2,Jun,Tue
06/17/20,2020,Qtr 2,Jun,Wed
06/18/20,2020,Qtr 2,Jun,Thu
06/19/20,2020,Qtr 2,Jun,Fri
06/20/20,2020,Qtr 2,Jun,Sat
06/21/20,2020,Qtr 2,Jun,Sun
06/22/20,2020,Qtr 2,Jun,Mon
06/23/20,2020,Qtr 2,Jun,Tue
06/24/20,2020,Qtr 2,Jun,Wed
06/25/20,2020,Qtr 2,Jun,Thu
06/26/20,2020,Qtr 2,Jun,Fri
06/27/20,2020,Qtr 2,Jun,Sat
06/28/20,2020,Qtr 2,Jun,Sun
06/29/20,2020,Qtr 2,Jun,Mon
06/30/20,2020,Qtr 2,Jun,Tue
07/01/20,2020,Qtr 3,Jul,Wed
07/02/20,2020,Qtr 3,Jul,Thu
07/03/20,2020,Qtr 3,Jul,Fri
07/04/20,2020,Qtr 3,Jul,Sat
07/05/20,2020,Qtr 3,Jul,Sun
07/06/20,2020,Qtr 3,Jul,Mon
07/07/20,2020,Qtr 3,Jul,Tue
07/08/20,2020,Qtr 3,Jul,Wed
07/09/20,2020,Qtr 3,Jul,Thu
07/10/20,2020,Qtr 3,Jul,Fri
07/11/20,2020,Qtr 3,Jul,Sat
07/12/20,2020,Qtr 3,Jul,Sun
07/13/20,2020,Qtr 3,Jul,Mon
07/14/20,2020,Qtr 3,Jul,Tue
07/15/20,2020,Qtr 3,Jul,Wed
07/16/20,2020,Qtr 3,Jul,Thu
07/17/20,2020,Qtr 3,Jul,Fri
07/18/20,2020,Qtr 3,Jul,Sat
07/19/20,2020,Qtr 3,Jul,Sun
07/20/20,2020,Qtr 3,Jul,Mon
07/21/20,2020,Qtr 3,Jul,Tue
07/22/20,2020,Qtr 3,Jul,Wed
07/23/20,2020,Qtr 3,Jul,Thu
07/24/20,2020,Qtr 3,Jul,Fri
07/25/20,2020,Qtr 3,Jul,Sat
07/26/20,2020,Qtr 3,Jul,Sun
07/27/20,2020,Qtr 3,Jul,Mon
07/28/20,2020,Qtr 3,Jul,Tue
07/29/20,2020,Qtr 3,Jul,Wed
07/30/20,2020,Qtr 3,Jul,Thu
07/31/20,2020,Qtr 3,Jul,Fri
08/01/20,2020,Qtr 3,Aug,Sat
08/02/20,2020,Qtr 3,Aug,Sun
08/03/20,2020,Qtr 3,Aug,Mon
08/04/20,2020,Qtr 3,Aug,Tue
08/05/20,2020,Qtr 3,Aug,Wed
08/06/20,2020,Qtr 3,Aug,Thu
08/07/20,2020,Qtr 3,Aug,Fri
08/08/20,2020,Qtr 3,Aug,Sat
08/09/20,2020,Qtr 3,Aug,Sun
08/10/20,2020,Qtr 3,Aug,Mon
08/11/20,2020,Qtr 3,Aug,Tue
08/12/20,2020,Qtr 3,Aug,Wed
08/13/20,2020,Qtr 3,Aug,Thu
08/14/20,2020,Qtr 3,Aug,Fri
08/15/20,2020,Qtr 3,Aug,Sat
08/16/20,2020,Qtr 3,Aug,Sun
08/17/20,2020,Qtr 3,Aug,Mon
08/18/20,2020,Qtr 3,Aug,Tue
08/19/20,2020,Qtr 3,Aug,Wed
08/20/20,2020,Qtr 3,Aug,Thu
08/21/20,2020,Qtr 3,Aug,Fri
08/22/20,2020,Qtr 3,Aug,Sat
08/23/20,2020,Qtr 3,Aug,Sun
08/24/20,2020,Qtr 3,Aug,Mon
08/25/20,2020,Qtr 3,Aug,Tue
08/26/20,2020,Qtr 3,Aug,Wed
08/27/20,2020,Qtr 3,Aug,Thu
08/28/20,2020,Qtr 3,Aug,Fri
08/29/20,2020,Qtr 3,Aug,Sat
08/30/20,2020,Qtr 3,Aug,Sun
08/31/20,2020,Qtr 3,Aug,Mon
09/01/20,2020,Qtr 3,Sep,Tue
09/02/20,2020,Qtr 3,Sep,Wed
09/03/20,2020,Qtr 3,Sep,Thu
09/04/20,2020,Qtr 3,Sep,Fri
09/05/20,2020,Qtr 3,Sep,Sat
09/06/20,2020,Qtr 3,Sep,Sun
09/07/20,2020,Qtr 3,Sep,Mon
09/08/20,2020,Qtr 3,Sep,Tue
09/09/20,2020,Qtr 3,Sep,Wed
09/10/20,2020,Qtr 3,Sep,Thu
09/11/20,2020,Qtr 3,Sep,Fri
09/12/20,2020,Qtr 3,Sep,Sat
09/13/20,2020,Qtr 3,Sep,Sun
09/14/20,2020,Qtr 3,Sep,Mon
09/15/20,2020,Qtr 3,Sep,Tue
09/16/20,2020,Qtr 3,Sep,Wed
09/17/20,2020,Qtr 3,Sep,Thu
09/18/20,2020,Qtr 3,Sep,Fri
09/19/20,2020,Qtr 3,Sep,Sat
09/20/20,2020,Qtr 3,Sep,Sun
09/21/20,2020,Qtr 3,Sep,Mon
09/22/20,2020,Qtr 3,Sep,Tue
09/23/20,2020,Qtr 3,Sep,Wed
09/24/20,2020,Qtr 3,Sep,Thu
09/25/20,2020,Qtr 3,Sep,Fri
09/26/20,2020,Qtr 3,Sep,Sat
09/27/20,2020,Qtr 3,Sep,Sun
09/28/20,2020,Qtr 3,Sep,Mon
09/29/20,2020,Qtr 3,Sep,Tue
09/30/20,2020,Qtr 3,Sep,Wed
10/01/20,2020,Qtr 4,Oct,Thu
10/02/20,2020,Qtr 4,Oct,Fri
10/03/20,2020,Qtr 4,Oct,Sat
10/04/20,2020,Qtr 4,Oct,Sun
10/05/20,2020,Qtr 4,Oct,Mon
10/06/20,2020,Qtr 4,Oct,Tue
10/07/20,2020,Qtr 4,Oct,Wed
10/08/20,2020,Qtr 4,Oct,Thu
10/09/20,2020,Qtr 4,Oct,Fri
10/10/20,2020,Qtr 4,Oct,Sat
10/11/20,2020,Qtr 4,Oct,Sun
10/12/20,2020,Qtr 4,Oct,Mon
10/13/20,2020,Qtr 4,Oct,Tue
10/14/20,2020,Qtr 4,Oct,Wed
10/15/20,2020,Qtr 4,Oct,Thu
10/16/20,2020,Qtr 4,Oct,Fri
10/17/20,2020,Qtr 4,Oct,Sat
10/18/20,2020,Qtr 4,Oct,Sun
10/19/20,2020,Qtr 4,Oct,Mon
10/20/20,2020,Qtr 4,Oct,Tue
10/21/20,2020,Qtr 4,Oct,Wed
10/22/20,2020,Qtr 4,Oct,Thu
10/23/20,2020,Qtr 4,Oct,Fri
10/24/20,2020,Qtr 4,Oct,Sat
10/25/20,2020,Qtr 4,Oct,Sun
10/26/20,2020,Qtr 4,Oct,Mon
10/27/20,2020,Qtr 4,Oct,Tue
10/28/20,2020,Qtr 4,Oct,Wed
10/29/20,2020,Qtr 4,Oct,Thu
10/30/20,2020,Qtr 4,Oct,Fri
10/31/20,2020,Qtr 4,Oct,Sat
11/01/20,2020,Qtr 4,Nov,Sun
11/02/20,2020,Qtr 4,Nov,Mon
11/03/20,2020,Qtr 4,Nov,Tue
11/04/20,2020,Qtr 4,Nov,Wed
11/05/20,2020,Qtr 4,Nov,Thu
11/06/20,2020,Qtr 4,Nov,Fri
11/07/20,2020,Qtr 4,Nov,Sat
11/08/20,2020,Qtr 4,Nov,Sun
11/09/20,2020,Qtr 4,Nov,Mon
11/10/20,2020,Qtr 4,Nov,Tue
11/11/20,2020,Qtr 4,Nov,Wed
11/12/20,2020,Qtr 4,Nov,Thu
11/13/20,2020,Qtr 4,Nov,Fri
11/14/20,2020,Qtr 4,Nov,Sat
11/15/20,2020,Qtr 4,Nov,Sun
11/16/20,2020,Qtr 4,Nov,Mon
11/17/20,2020,Qtr 4,Nov,Tue
11/18/20,2020,Qtr 4,Nov,Wed
11/19/20,2020,Qtr 4,Nov,Thu
11/20/20,2020,Qtr 4,Nov,Fri
11/21/20,2020,Qtr 4,Nov,Sat
11/22/20,2020,Qtr 4,Nov,Sun
11/23/20,2020,Qtr 4,Nov,Mon
11/24/20,2020,Qtr 4,Nov,Tue
11/25/20,2020,Qtr 4,Nov,Wed
11/26/20,2020,Qtr 4,Nov,Thu
11/27/20,2020,Qtr 4,Nov,Fri
11/28/20,2020,Qtr 4,Nov,Sat
11/29/20,2020,Qtr 4,Nov,Sun
11/30/20,2020,Qtr 4,Nov,Mon
12/01/20,2020,Qtr 4,Dec,Tue
12/02/20,2020,Qtr 4,Dec,Wed
12/03/20,2020,Qtr 4,Dec,Thu
12/04/20,2020,Qtr 4,Dec,Fri
12/05/20,2020,Qtr 4,Dec,Sat
12/06/20,2020,Qtr 4,Dec,Sun
12/07/20,2020,Qtr 4,Dec,Mon
12/08/20,2020,Qtr 4,Dec,Tue
12/09/20,2020,Qtr 4,Dec,Wed
12/10/20,2020,Qtr 4,Dec,Thu
12/11/20,2020,Qtr 4,Dec,Fri
12/12/20,2020,Qtr 4,Dec,Sat
12/13/20,2020,Qtr 4,Dec,Sun
12/14/20,2020,Qtr 4,Dec,Mon
12/15/20,2020,Qtr 4,Dec,Tue
12/16/20,2020,Qtr 4,Dec,Wed
12/17/20,2020,Qtr 4,Dec,Thu
12/18/20,2020,Qtr 4,Dec,Fri
12/19/20,2020,Qtr 4,Dec,Sat
12/20/20,2020,Qtr 4,Dec,Sun
12/21/20,2020,Qtr 4,Dec,Mon
12/22/20,2020,Qtr 4,Dec,Tue
12/23/20,2020,Qtr 4,Dec,Wed
12/24/20,2020,Qtr 4,Dec,Thu
12/25/20,2020,Qtr 4,Dec,Fri
12/26/20,2020,Qtr 4,Dec,Sat
12/27/20,2020,Qtr 4,Dec,Sun
12/28/20,2020,Qtr 4,Dec,Mon
12/29/20,2020,Qtr 4,Dec,Tue
12/30/20,2020,Qtr 4,Dec,Wed
12/31/20,2020,Qtr 4,Dec,Thu
